"","x"
"亞高山針葉林",12
"上部山地針葉林",13
"上部山地－山地－下部山地次生針葉林",14
"山地針葉林",15
"上部山地針闊葉混淆林",16
"上部山地－山地－下部山地針闊葉次生混淆林",17
"山地針闊葉混淆林",18
"下部山地針闊葉混淆林",19
"上部山地－山地－下部山地崩塌地次生落葉闊葉林",20
"山地常綠闊葉林",21
"山地常綠闊葉矮林",22
"山地落葉闊葉林",23
"山地－下部山地－低地次生落葉闊葉林",24
"山地－下部山地－低地半落葉闊葉林",25
"下部山地常綠闊葉林",26
"下部山地－低地次生常綠闊葉林",27
"低地常綠闊葉林",28
"低地風衝常綠闊葉矮林",29
"竹林",30
"熱帶海岸林",31
"高山針闊葉灌叢",32
"亞高山－上部山地－山地針闊葉灌叢",33
"下部山地－低地闊葉灌叢",34
"海岸闊葉灌叢",35
"高山草本植群",36
"亞高山－上部山地－山地草本植群",37
"下部山地－低地草本植群",38
"砂丘植群",39
"亞高山－上部山地－山地岩壁及碎石坡植群",40
"下部山地－低地岩壁及碎石坡植群",41
"海岸岩壁植群",42
"人工林",43
"耕地",44
"建地",45
"天然裸露地",46
"水域",47
"公園、墓地",48
"人工裸露地",49
