"","x"
"1","亞高山針葉林"
"2","上部山地針葉林"
"3","上部山地－山地－下部山地次生針葉林"
"4","山地針葉林"
"5","上部山地針闊葉混淆林"
"6","上部山地－山地－下部山地針闊葉次生混淆林"
"7","山地針闊葉混淆林"
"8","下部山地針闊葉混淆林"
"9","上部山地－山地－下部山地崩塌地次生落葉闊葉林"
"10","山地常綠闊葉林"
"11","山地常綠闊葉矮林"
"12","山地落葉闊葉林"
"13","山地－下部山地－低地次生落葉闊葉林"
"14","山地－下部山地－低地半落葉闊葉林"
"15","下部山地常綠闊葉林"
"16","下部山地－低地次生常綠闊葉林"
"17","低地常綠闊葉林"
"18","低地風衝常綠闊葉矮林"
"19","竹林"
"20","熱帶海岸林"
"21","高山針闊葉灌叢"
"22","亞高山－上部山地－山地針闊葉灌叢"
"23","下部山地－低地闊葉灌叢"
"24","海岸闊葉灌叢"
"25","高山草本植群"
"26","亞高山－上部山地－山地草本植群"
"27","下部山地－低地草本植群"
"28","砂丘植群"
"29","亞高山－上部山地－山地岩壁及碎石坡植群"
"30","下部山地－低地岩壁及碎石坡植群"
"31","海岸岩壁植群"
"32","人工林"
"33","耕地"
"34","建地"
"35","天然裸露地"
"36","水域"
"37","公園、墓地"
"38","人工裸露地"
